,en,ru
Settings,Settings,Настройки
Language,Language,Язык
Music,Music,Музыка
Sounds,Sounds,Звуки
weaponStats,Damage: %d\nDistance: %d\nBullet usage: %d\nUses bullets,Урон: %d\nРасстояние: %d\nРасход патронов: %d\nИспользует патроны
bulletsDesc,Consumes when you shoot,"Тратятся, когда вы стреляйте"
sumTutor,[color=red]Move carefully!,[color=red]Двигайся аккуратно!
checkTutor,You can step on enemy cell,Ты можешь передвинуться на клетку врага
sumTutorDesc,"Look at the numbers, they show the health of the enemies around them.","Смотри на числа, они показывают здоровье врагов вокруг себя"
checkTutorDesc,"But if your health is lower, you will lose.","Но если твое здоровье меньше, ты проиграешь"
close_button,Close,Закрыть
Move,Move,Ходить
clickItem,Click on slot to see details,Кликни на слот чтобы узнать детали
game_over,Game Over!,Конец игры!
retry,Retry,Заново
bullets,Bullets,Патроны
pistol,Pistol,Пистолет
shotgun,Shotgun,Дробовик
sniperRifle,Sniper Rifle,Винтовка
uzi,Uzi,Узи
pills,Pills,Таблетки
armor,Armor,Броня
flashlight,Flashlight,Фонарик
molotovCocktail,Molotov Cocktail,Коктейль Молотова
pillsDesc,Heals 5 health,Лечит 5 здоровья
armorDesc,Enemy will deal 10 less damage.,Враг нанесет на 10 урона меньше
flashlightDesc,Shows cells around you,Показывает клетки вокруг игрока
molotovCocktailDesc,Deals 3 damage on the selected cell and opens the cells around it ,Наносит 3 урона на выбранной клетке и открывается клетки вокруг нее
Use,Use,Использовать
Throw,Throw,Бросить
Drop,Drop,Удалить
Shoot,Shoot,Выстрелить
